Número Movimiento;Nombre;Ciudad;Fecha de movimiento;Valor de movimiento;Tipo;Banco;Imagen;Forma de pago
1;Caramuru Pie I;Nueva York;2/01/2020;$675,87;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
2;Indaia;Los Ángeles;4/01/2020;$1.562.555,94;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
3;Diamante Iii;Nueva York;4/01/2020;$4.970,12;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Efectivo
4;Diamante Iii;Nueva York;4/01/2020;$6.716,79;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
5;Diamante Iii;Chicago;4/01/2020;$7.072,15;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;MercadoPago
6;Canuelas;Nueva York;5/01/2020;$6.259,85;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Tarjeta
7;Indaia;Nueva York;5/01/2020;$6.720,29;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;Paypal
8;Libra Energia;Houston;5/01/2020;$6.510,70;Recibido;Citigroup;https://i.ibb.co/18SNjp9/3.png;MercadoPago
9;Libra Energia;Chicago;5/01/2020;$5.882,06;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
10;Libra Energia;Houston;5/01/2020;$6.712,31;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;MercadoPago
11;Libra Energia;Los Ángeles;5/01/2020;$6.583,79;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
12;Libra Energia;Houston;5/01/2020;$7.066,01;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
13;Diamante Ii;Los Ángeles;6/01/2020;$1.053.538,56;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;Tarjeta
14;Indaia;Houston;6/01/2020;$12.261,57;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Paypal
15;Indaia;Los Ángeles;6/01/2020;$12.769,64;Recibido;Santander;https://i.ibb.co/8BvyVd7/4.png;Paypal
16;Elkem Carboderivados;Los Ángeles;6/01/2020;$13.544,81;Recibido;Chase Bank;https://i.ibb.co/7zvWdDM/1.png;Efectivo
17;Elkem Carboderivados;Los Ángeles;6/01/2020;$453.183,64;Recibido;Bank Of America;https://i.ibb.co/C63d3hs/2.png;Paypal
